Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:29:16:958,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,15:29:17:801,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,15:29:18:968,test,pistol,0.565s,2,1,0.5,1000,4000,0.25,false
4,15:29:19:616,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,15:29:20:815,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,15:29:21:431,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,15:29:22:001,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,15:29:23:695,test,pistol,0.871s,3,1,0.333,1000,6000,0.167,false
9,15:29:24:187,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
10,15:29:24:984,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,15:29:26:219,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,15:29:26:799,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,15:29:28:101,test,pistol,0.752s,2,1,0.5,1000,4000,0.25,false
14,15:29:29:370,test,pistol,0.469s,2,1,0.5,1000,4000,0.25,false
15,15:29:29:944,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,15:29:30:559,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,15:29:31:152,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,15:29:31:647,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,15:29:32:324,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,15:29:33:056,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,15:29:33:598,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,15:29:34:617,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,15:29:35:274,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,15:29:36:071,test,pistol,0s,1,1,1,1000,2000,0.5,false
